id,original_title
2,Ariel
3,Varjoja paratiisissa
5,Four Rooms
6,Judgment Night
11,Star Wars
12,Finding Nemo
13,Forrest Gump
14,American Beauty
15,Citizen Kane
16,Dancer in the Dark
17,The Dark
18,The Fifth Element
19,Metropolis
20,My Life Without Me
21,The Endless Summer
22,Pirates of the Caribbean: The Curse of the Black Pearl
24,Kill Bill: Vol. 1
25,Jarhead
26,LaLehet Al HaMayim
27,9 Songs
28,Apocalypse Now
33,Unforgiven
35,The Simpsons Movie
38,Eternal Sunshine of the Spotless Mind
55,Amores perros
58,Pirates of the Caribbean: Dead Man's Chest
59,A History of Violence
62,2001: A Space Odyssey
63,Twelve Monkeys
64,Hable con ella
65,8 Mile
66,Absolute Power
67,Paradise Now
68,Brazil
69,Walk the Line
70,Million Dollar Baby
71,Billy Elliot
73,American History X
74,War of the Worlds
75,Mars Attacks!
76,Before Sunrise
77,Memento
78,Blade Runner
80,Before Sunset
82,Miami Vice
83,Open Water
85,Raiders of the Lost Ark
86,Elementarteilchen
87,Indiana Jones and the Temple of Doom
88,Dirty Dancing
89,Indiana Jones and the Last Crusade
90,Beverly Hills Cop
91,Las Hurdes
92,Megacities
93,Anatomy of a Murder
95,Armageddon
96,Beverly Hills Cop II
97,Tron
98,Gladiator
99,Todo sobre mi madre
100,"Lock, Stock and Two Smoking Barrels"
102,Elsker dig for evigt
103,Taxi Driver
104,Lola rennt
105,Back to the Future
106,Predator
107,Snatch
108,Trois couleurs : Bleu
109,Trois couleurs : Blanc
110,Trois couleurs : Rouge
111,Scarface
112,Italiensk for begyndere
114,Pretty Woman
115,The Big Lebowski
116,Match Point
117,The Untouchables
118,Charlie and the Chocolate Factory
120,The Lord of the Rings: The Fellowship of the Ring
121,The Lord of the Rings: The Two Towers
122,The Lord of the Rings: The Return of the King
123,The Lord of the Rings
124,Bez Konca
127,Przypadek
132,The Rolling Stones: Gimme Shelter
133,Primary
134,"O Brother, Where Art Thou?"
135,Dont Look Back
136,Freaks
137,Groundhog Day
138,Dracula
139,Mifunes sidste sang
141,Donnie Darko
142,Brokeback Mountain
143,All Quiet on the Western Front
144,Der Himmel über Berlin
145,Breaking the Waves
147,Les Quatre Cents Coups
148,The Secret Life of Words
150,48 Hrs.
152,Star Trek: The Motion Picture
153,Lost in Translation
154,Star Trek II: The Wrath of Khan
155,The Dark Knight
157,Star Trek III: The Search for Spock
158,Knockin' on Heaven's Door
159,Der bewegte Mann
161,Ocean's Eleven
162,Edward Scissorhands
163,Ocean's Twelve
164,Breakfast at Tiffany's
165,Back to the Future Part II
166,La Boum
167,K-PAX
168,Star Trek IV: The Voyage Home
169,Predator 2
170,28 Days Later
171,La Boum 2
172,Star Trek V: The Final Frontier
173,"20,000 Leagues Under the Sea"
174,Star Trek VI: The Undiscovered Country
175,Le Grand Bleu
176,Saw
177,The Fisher King
178,Blown Away
179,The Interpreter
180,Minority Report
182,The Good German
183,The Wizard
184,Jackie Brown
185,A Clockwork Orange
186,Lucky Number Slevin
187,Sin City
189,Sin City: A Dame to Kill For
192,The Name of the Rose
193,Star Trek: Generations
195,Trouble in Paradise
196,Back to the Future Part III
197,Braveheart
198,To Be or Not to Be
199,Star Trek: First Contact
200,Star Trek: Insurrection
201,Star Trek: Nemesis
203,Mean Streets
204,Le salaire de la peur
205,Hotel Rwanda
206,Paradise Found
207,Dead Poets Society
211,Berlin is in Germany
212,Arsenic and Old Lace
213,North by Northwest
214,Saw III
215,Saw II
216,Angst essen Seele auf
217,Indiana Jones and the Kingdom of the Crystal Skull
218,The Terminator
219,Volver
220,East of Eden
221,Rebel Without a Cause
222,Berlin: Die Sinfonie der Grosstadt
223,Rebecca
225,Czlowiek z zelaza
226,Boys Don't Cry
227,The Outsiders
228,Der blaue Engel
229,Bride of Frankenstein
231,Syriana
232,Rumble Fish
233,The Wanderers
234,Das Cabinet des Dr. Caligari
235,Stand by Me
236,Muriel's Wedding
237,Young Adam
238,The Godfather
239,Some Like It Hot
240,The Godfather: Part II
241,Natural Born Killers
242,The Godfather: Part III
243,High Fidelity
244,King Kong
245,About a Boy
247,The Killing
248,Pocketful of Miracles
249,The War of the Roses
250,I Kina spiser de hunde
251,Ghost
252,Willy Wonka & the Chocolate Factory
253,Live and Let Die
254,King Kong
256,Antoine et Colette
257,Oliver Twist
258,Domicile Conjugal
259,L'amour en fuite
260,The 39 Steps
261,Cat on a Hot Tin Roof
262,The King of Comedy
265,Lili Marleen
268,Batman
272,Batman Begins
273,Das weisse Rauschen
274,The Silence of the Lambs
275,Fargo
276,Die fetten Jahre sind vorbei
277,Underworld
278,The Shawshank Redemption
279,Amadeus
280,Terminator 2: Judgment Day
281,Strange Days
284,The Apartment
285,Pirates of the Caribbean: At World's End
286,Deutschland. Ein Sommermärchen
287,Bull Durham
288,High Noon
289,Casablanca
290,Barton Fink
291,Riding Giants
292,Dave Chappelle's Block Party
293,A River Runs Through It
294,Desert Hearts
296,Terminator 3: Rise of the Machines
297,Meet Joe Black
298,Ocean's Thirteen
299,Ocean's Eleven
301,Rio Bravo
302,Swimming Pool
303,Notorious
306,Beverly Hills Cop III
308,Broken Flowers
309,Festen
310,Bruce Almighty
311,Once Upon a Time in America
312,Jenseits der Stille
313,Snow Cake
314,Catwoman
315,"Faster, Pussycat! Kill! Kill!"
316,Halbe Treppe
317,Grbavica
318,The Million Dollar Hotel
319,True Romance
320,Insomnia
321,Mambo Italiano
322,Mystic River
326,Snakes on a Plane
327,Brother
329,Jurassic Park
330,The Lost World: Jurassic Park
331,Jurassic Park III
332,Inspector Gadget
333,Bollywood/Hollywood
334,Magnolia
335,C'era una volta il West
337,Monsieur Ibrahim et les fleurs du Coran
338,"Good bye, Lenin!"
339,Night on Earth
340,Everything is Illuminated
342,Sommersturm
343,Harold and Maude
344,Bang Boom Bang - Ein todsicheres Ding
345,Eyes Wide Shut
347,Menschen am Sonntag
348,Alien
350,The Devil Wears Prada
363,Gegen die Wand
364,Batman Returns
377,A Nightmare on Elm Street
378,Raising Arizona
379,Miller's Crossing
380,Rain Man
381,To Catch a Thief
383,Mala Noche
387,Das Boot
388,Inside Man
389,12 Angry Men
390,Lisbon Story
391,Per un pugno di dollari
392,Chocolat
393,Kill Bill: Vol. 2
395,AVP: Alien vs. Predator
396,Who's Afraid of Virginia Woolf?
397,French Kiss
398,Capote
400,Things to Do in Denver When You're Dead
401,Garden State
402,Basic Instinct
403,Driving Miss Daisy
404,The Straight Story
405,La strada
406,La Haine
407,Kurz und schmerzlos
408,Snow White and the Seven Dwarfs
409,The English Patient
410,Sommer vorm Balkon
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
414,Batman Forever
415,Batman & Robin
421,The Life Aquatic with Steve Zissou
423,The Pianist
424,Schindler's List
425,Ice Age
426,Vertigo
427,Mon oncle
428,Sommer '04
429,"Il buono, il brutto, il cattivo"
430,"One, Two, Three"
431,Cube
433,Mary Poppins
434,Knallhart
435,The Day After Tomorrow
437,Cube 2: Hypercube
438,Cube Zero
439,La dolce vita
440,Aliens vs Predator: Requiem
441,Human Nature
451,Leaving Las Vegas
452,Idioterne
453,A Beautiful Mind
454,Romeo + Juliet
455,Bend It Like Beckham
457,Sissi
458,Sissi - Die junge Kaiserin
459,Sissi - Schicksalsjahre einer Kaiserin
460,Alles auf Zucker!
462,Erin Brockovich
465,36 Fillette
466,Klute
467,The Hole
468,My Own Private Idaho
469,Stranger Than Paradise
470,21 Grams
471,Bandyta
473,Pi
475,Bonnie and Clyde
476,Drugstore Cowboy
479,Shaft
480,Monsoon Wedding
482,Shaft
483,Wild at Heart
488,The African Queen
489,Good Will Hunting
490,Det sjunde inseglet
492,Being John Malkovich
493,Shaft's Big Score!
494,Shaft in Africa
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
497,The Green Mile
500,Reservoir Dogs
501,Grizzly Man
502,Fail-Safe
503,Poseidon
504,Monster
505,Johnny Handsome
506,Marnie
507,Killing Zoe
508,Love Actually
509,Notting Hill
510,One Flew Over the Cuckoo's Nest
511,Ziemia obiecana
512,Scoop
513,Fire
521,Dial M for Murder
522,Ed Wood
523,Requiem
524,Casino
525,The Blues Brothers
526,Ladyhawke
527,Once Were Warriors
530,A Grand Day Out
531,The Wrong Trousers
532,A Close Shave
533,The Curse of the Were-Rabbit
534,Terminator Salvation
535,Flashdance
539,Psycho
540,D.E.B.S.
541,The Man with the Golden Arm
542,El Crimen del Padre Amaro
543,Blackmail
544,There's Something About Mary
546,Transamerica
547,The Horse Whisperer
549,Basquiat
550,Fight Club
551,The Poseidon Adventure
552,Pane e Tulipani
553,Dogville
554,Kukushka
557,Spider-Man
558,Spider-Man 2
559,Spider-Man 3
560,Secret Beyond the Door
561,Constantine
562,Die Hard
563,Starship Troopers
564,The Mummy
565,The Ring
567,Rear Window
568,Apollo 13
571,The Birds
572,Naboer
573,Frenzy
574,The Man Who Knew Too Much
575,Das Experiment
576,The Wild Bunch
577,To Die For
578,Jaws
579,Jaws 2
580,Jaws: The Revenge
581,Dances with Wolves
582,Das Leben der Anderen
583,Life of Brian
584,2 Fast 2 Furious
585,"Monsters, Inc."
586,Wag the Dog
587,Big Fish
588,Silent Hill
590,The Hours
591,The Da Vinci Code
592,The Conversation
594,The Terminal
595,To Kill a Mockingbird
596,The Grapes of Wrath
597,Titanic
598,Cidade de Deus
599,Sunset Boulevard
600,Full Metal Jacket
601,E.T. the Extra-Terrestrial
602,Independence Day
603,The Matrix
604,The Matrix Reloaded
605,The Matrix Revolutions
606,Out of Africa
607,Men in Black
608,Men in Black II
609,Poltergeist
612,Munich
613,Der Untergang
614,Smultronstället
615,The Passion of the Christ
616,The Last Samurai
617,Wild Things
618,The Birth of a Nation
619,The Bodyguard
620,Ghostbusters
621,Grease
622,The Ninth Gate
623,A Fish Called Wanda
624,Easy Rider
625,The Killing Fields
626,Un chien andalou
627,Trainspotting
628,Interview with the Vampire
629,The Usual Suspects
630,The Wizard of Oz
631,Sunrise: A Song of Two Humans
632,Stalag 17
633,Soldaat van Oranje
634,Bridget Jones's Diary
635,Angel Heart
636,THX 1138
638,Lost Highway
639,When Harry Met Sally...
640,Catch Me If You Can
641,Requiem for a Dream
642,Butch Cassidy and the Sundance Kid
644,A.I. Artificial Intelligence
646,Dr. No
647,Final Fantasy VII: Advent Children
648,La belle et la bête
649,Belle de jour
650,Boyz n the Hood
652,Troy
653,"Nosferatu, eine Symphonie des Grauens"
654,On the Waterfront
655,"Paris, Texas"
657,From Russia with Love
658,Goldfinger
659,Die Blechtrommel
660,Thunderball
661,Die Ehe der Maria Braun
663,Saw IV
664,Twister
665,Ben-Hur
666,Central do Brasil
667,You Only Live Twice
668,On Her Majesty's Secret Service
669,Nanook of the North
671,Harry Potter and the Philosopher's Stone
672,Harry Potter and the Chamber of Secrets
673,Harry Potter and the Prisoner of Azkaban
674,Harry Potter and the Goblet of Fire
675,Harry Potter and the Order of the Phoenix
676,Pearl Harbor
678,Out of the Past
679,Aliens
680,Pulp Fiction
681,Diamonds Are Forever
682,The Man with the Golden Gun
686,Contact
687,Dead Man Walking
688,The Bridges of Madison County
690,Pickpocket
691,The Spy Who Loved Me
692,Pink Flamingos
693,Meet the Fockers
694,The Shining
695,Short Cuts
696,Manhattan
697,Oktyabr
698,Moonraker
699,For Your Eyes Only
700,Octopussy
701,Our Hospitality
702,A Streetcar Named Desire
703,Annie Hall
704,A Hard Day's Night
705,All About Eve
706,Fontane Effi Briest
707,A View to a Kill
708,The Living Daylights
709,Licence to Kill
710,GoldenEye
711,Finding Forrester
712,Four Weddings and a Funeral
713,The Piano
714,Tomorrow Never Dies
742,Tillsammans
744,Top Gun
745,The Sixth Sense
746,The Last Emperor
747,Shaun of the Dead
750,Murder She Said
751,Murder at the Gallop
752,V for Vendetta
753,Faces
754,Face/Off
755,From Dusk Till Dawn
756,Fantasia
757,Murder Most Foul
758,Murder Ahoy
759,Gentlemen Prefer Blondes
760,Les aventures de Rabbi Jacob
761,L'Aile ou la Cuisse
762,Monty Python and the Holy Grail
763,Braindead
764,The Evil Dead
765,Evil Dead II
766,Army of Darkness
767,Harry Potter and the Half-Blood Prince
768,From Hell
769,GoodFellas
770,Gone with the Wind
771,Home Alone
772,Home Alone 2: Lost in New York
773,Little Miss Sunshine
775,Le Voyage dans la Lune
776,La Règle du jeu
777,La Grande Illusion
778,Les Vacances de Monsieur Hulot
779,Vampyr - Der Traum des Allan Grey
780,La passion de Jeanne d'Arc
782,Gattaca
783,Gandhi
784,Kolja
786,Almost Famous
787,Mr. & Mrs. Smith
788,Mrs. Doubtfire
790,The Fog
791,The Fog
792,Platoon
793,Blue Velvet
794,The Omen
795,City of Angels
796,Cruel Intentions
797,Persona
800,Los Olvidados
801,"Good Morning, Vietnam"
802,Lolita
803,Nuit et brouillard
804,Roman Holiday
805,Rosemary's Baby
806,The Omen
807,Se7en
808,Shrek
809,Shrek 2
810,Shrek the Third
811,Silent Running
812,Aladdin
813,Airplane!
814,An American Werewolf in London
815,Animal Farm
816,Austin Powers: International Man of Mystery
817,Austin Powers: The Spy Who Shagged Me
818,Austin Powers in Goldmember
819,Sleepers
820,JFK
821,Judgment at Nuremberg
824,Moulin Rouge!
825,Playing by Heart
826,The Bridge on the River Kwai
827,Les diaboliques
828,The Day the Earth Stood Still
829,Chinatown
830,Forbidden Planet
831,This Island Earth
832,M
833,Umberto D.
834,Underworld: Evolution
836,Vidas secas
837,Videodrome
838,American Graffiti
839,Duel
840,Close Encounters of the Third Kind
841,Dune
842,The Assassination of Richard Nixon
845,Strangers on a Train
846,The X Files
847,Willow
848,Dragonslayer
849,Krull
850,A Christmas Story
851,Brief Encounter
853,Enemy at the Gates
854,The Mask
855,Black Hawk Down
856,Who Framed Roger Rabbit
857,Saving Private Ryan
858,Sleepless in Seattle
859,Dangerous Liaisons
860,WarGames
861,Total Recall
862,Toy Story
863,Toy Story 2
864,Cool Runnings
865,The Running Man
866,Finding Neverland
867,Sliver
868,Tsotsi
869,Planet of the Apes
871,Planet of the Apes
872,Singin' in the Rain
873,The Color Purple
874,A Man for All Seasons
875,Shanghai Express
876,Frank Herbert's Dune
877,Scarface
878,Die Feuerzangenbowle
879,Hook
880,Antonia
881,A Few Good Men
883,Coffee and Cigarettes
884,Crash
885,The Docks of New York
886,The Cincinnati Kid
887,The Best Years of Our Lives
888,The Flintstones
889,The Flintstones in Viva Rock Vegas
890,Schlafes Bruder
891,All the President's Men
892,Delicatessen
898,Birdman of Alcatraz
899,Broken Blossoms
900,Bringing Up Baby
901,City Lights
903,Cool Hand Luke
907,Doctor Zhivago
909,Meet Me in St. Louis
910,The Big Sleep
911,The Bank Dick
912,The Thomas Crown Affair
913,The Thomas Crown Affair
914,The Great Dictator
916,Bullitt
917,Mother India
918,Blind Date
919,Blood: The Last Vampire
920,Cars
921,Cinderella Man
922,Dead Man
923,Dawn of the Dead
924,Dawn of the Dead
925,Do the Right Thing
926,Galaxy Quest
927,Gremlins
928,Gremlins 2: The New Batch
929,Godzilla
931,Don't Look Now
934,Du rififi chez les hommes
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
936,The Pink Panther
939,The Jazz Singer
940,The Lady Vanishes
941,Lethal Weapon
942,Lethal Weapon 2
943,Lethal Weapon 3
944,Lethal Weapon 4
946,Letter from an Unknown Woman
947,Lawrence of Arabia
948,Halloween
949,Heat
950,Ice Age: The Meltdown
951,Kindergarten Cop
953,Madagascar
954,Mission: Impossible
955,Mission: Impossible II
956,Mission: Impossible III
957,Spaceballs
961,The General
962,The Gold Rush
963,The Maltese Falcon
964,The Phantom of the Opera
965,The Magnificent Ambersons
966,The Magnificent Seven
967,Spartacus
968,Dog Day Afternoon
975,Paths of Glory
976,Sweet Smell of Success
977,Tabu
978,Seven Years in Tibet
980,The Ox-Bow Incident
981,The Philadelphia Story
982,The Manchurian Candidate
983,The Man Who Would Be King
984,Dirty Harry
985,Eraserhead
986,Falstaff
987,The Front Page
988,The China Syndrome
989,The Mortal Storm
990,The Hustler
991,The Man Who Fell to Earth
992,"Sherlock, Jr."
993,Sleuth
994,Straw Dogs
995,Stagecoach
996,Double Indemnity
1018,Mulholland Drive
1024,Heavenly Creatures
1039,Die Siebtelbauern
1040,Il gattopardo
1049,Sommersby
1050,Xizao
1051,The French Connection
1052,Blow-Up
1058,Breathless
1073,Arlington Road
1088,Whale Rider
1089,Point Break
1090,The Thirteenth Floor
1091,The Thing
1092,The Third Man
1103,Escape from New York
1114,Die Geschichte vom weinenden Kamel
1115,Gespenster
1116,The Wind That Shakes the Barley
1123,Catch a Fire
1124,The Prestige
1125,Dreamgirls
1126,In My Father's Den
1127,Princesas
1162,The Miracle Worker
1163,The Miracle Worker
1164,Babel
1165,The Queen
1213,The Talented Mr. Ripley
1244,Das wilde Leben
1245,The Remains of the Day
1246,Rocky Balboa
1247,The Good Shepherd
1248,Hannibal Rising
1249,Hollywoodland
1250,Ghost Rider
1251,Letters from Iwo Jima
1252,Lonely Hearts
1253,Breaking and Entering
1254,"Je vais bien, ne t'en fais pas"
1257,Because I Said So
1259,Notes on a Scandal
1262,Stranger Than Fiction
1265,Bridge to Terabithia
1266,Street Kings
1267,Meet the Robinsons
1268,Mr. Bean's Holiday
1269,Neues vom Wixxer
1272,Sunshine
1273,TMNT
1277,Ein Lied von Liebe und Tod – Gloomy Sunday
1278,The Dreamers
1281,Bean
1282,Dogtown and Z-Boys
1283,"Torrente, el brazo tonto de la ley"
1285,Torrente 3: El protector
1294,Vier Minuten
1358,A Brief History of Time
1359,American Psycho
1360,Frida
1361,The Return of the King
1362,The Hobbit
1363,The Hi-Lo Country
1365,Monster's Ball
1366,Rocky
1367,Rocky II
1368,First Blood
1369,Rambo: First Blood Part II
1370,Rambo III
1371,Rocky III
1372,Blood Diamond
1373,The Discovery of Heaven
1374,Rocky IV
1375,Rocky V
1376,Sweet Sixteen
1377,Houseboat
1378,Shortbus
1379,Laitakaupungin valot
1380,Gleaming the Cube
1381,The Fountain
1382,Me and You and Everyone We Know
1387,Superstar: The Karen Carpenter Story
1389,Out of Sight
1392,Born into Brothels
1394,Nostalghia
1402,The Pursuit of Happyness
1403,Duel at Diablo
1404,Ae Fond Kiss...
1405,Greed
1406,City Slickers
1408,Cutthroat Island
1410,Dark Star
1411,The Rapture
1412,"Sex, Lies, and Videotape"
1413,M. Butterfly
1415,Party Monster
1417,El laberinto del fauno
1418,Te doy mis ojos
1419,Vollidiot
1420,Breakfast on Pluto
1421,L'Homme qui aimait les femmes
1422,The Departed
1427,Perfume: The Story of a Murderer
1428,Once Upon a Time in Mexico
1429,25th Hour
1430,Bowling for Columbine
1433,El espinazo del diablo
1435,Tarnation
1439,Anna and the King
1440,Little Children
1441,The Contract
1443,The Virgin Suicides
1444,Junebug
1448,The Wisdom of Crocodiles
1450,Blood: The Last Vampire
1452,Superman Returns
1479,"Clean, Shaven"
1480,Touch of Evil
1481,Metal Skin
1482,Laws of Gravity
1483,Begotten
1484,Der Totmacher
1485,Get Carter
1487,Hellboy
1491,The Illusionist
1492,1492: Conquest of Paradise
1493,Miss Congeniality
1495,Kingdom of Heaven
1496,Cool as Ice
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1498,Teenage Mutant Ninja Turtles
1499,Teenage Mutant Ninja Turtles III
1523,The Last King of Scotland
1534,Pathfinder
1535,Spy Game
1537,Changing Lanes
1538,Collateral
1540,Vers le sud
1541,Thelma & Louise
1542,Office Space
1544,Imagine Me & You
1546,Thumbsucker
1547,The Lost Boys
1548,Ghost World
1549,L'Esquive
1550,Pieces of April
1551,Flatliners
1552,Parenthood
1554,Down by Law
1555,L'Auberge espagnole
1559,Sweet Movie
1561,Mouchette
1562,28 Weeks Later
1563,Sans soleil
1567,Seul contre tous
1568,Carne
1571,Live Free or Die Hard
1572,Die Hard: With a Vengeance
1573,Die Hard 2
1574,Chicago
1576,Resident Evil
1577,Resident Evil: Apocalypse
1578,Raging Bull
1579,Apocalypto
1580,Rope
1581,The Holiday
1583,Lammbock
1584,School of Rock
1585,It's a Wonderful Life
1586,Secret Window
1587,What's Eating Gilbert Grape
1588,Bring It On
1589,The Boys from County Clare
1590,Copying Beethoven
1591,Nirgendwo in Afrika
1592,Primal Fear
1593,Night at the Museum
1594,A Shot in the Dark
1595,Land of Plenty
1596,Population 436
1597,Meet the Parents
1598,Cape Fear
1599,I Heart Huckabees
1607,A Bronx Tale
1608,When Saturday Comes
1609,There's Only One Jimmy Grimble
1610,Fever Pitch
1611,Das Wunder von Bern
1613,The 51st State
1615,Erkan & Stefan gegen die Mächte der Finsternis
1616,Erkan & Stefan in Der Tod kommt krass
1618,Still Crazy
1619,The Way of the Gun
1620,Hitman
1621,Trading Places
1622,Lemming
1623,Brubaker
1624,Liar Liar
1626,Vivre sa vie: film en douze tableaux
1627,L'Enfant sauvage
1628,Jules et Jim
1629,La chinoise
1630,The People vs. Larry Flynt
1631,Une vraie jeune fille
1632,Mississippi Burning
1633,Fried Green Tomatoes
1634,Free Willy
1635,The Island
1636,Bedazzled
1637,Speed
1639,Speed 2: Cruise Control
1640,Crash
1641,Forces of Nature
1642,The Net
1643,Ultimo tango a Parigi
1644,The Vanishing
1645,A Time to Kill
1646,Freedom Writers
1647,The Recruit
1648,Bill & Ted's Excellent Adventure
1649,Bill & Ted's Bogus Journey
1652,00 Schneider - Jagd auf Nihil Baxter
1653,Diarios de motocicleta
1654,The Dirty Dozen
1655,Praxis Dr. Hasenbein
1656,The Legend of Zorro
1659,Texas - Doc Snyder hält die Welt in Atem
1660,L'argent de poche
1661,Absolute Giganten
1662,State of Grace
1665,Last Days
1666,The Bridge
1667,La Marche de l'empereur
1669,The Hunt for Red October
1672,Le Professionnel
1673,Comanche Station
1676,Will Penny
1677,Ray
1679,Gojira no Gyakushū
1680,Kingu Kongu tai Gojira
1682,Mosura tai Gojira
1683,The Reaping
1685,Beneath the Planet of the Apes
1686,Chelsea Girls
1687,Escape from the Planet of the Apes
1688,Conquest of the Planet of the Apes
1689,Little Buddha
1690,Hostel
1691,Hostel: Part II
1694,Re-Animator
1696,The Devil's Rejects
1698,Anatomie
1700,Misery
1701,Con Air
1702,Death Machine
1705,Battle for the Planet of the Apes
1710,Copycat
1712,Giant
1713,Jungle Fever
1714,Fahrenheit 451
1715,The Cider House Rules
1717,All the King's Men
1718,Santa Fe Trail
1719,La Peau douce
1722,Captain Corelli's Mandolin